iter	Passed	Remaining
415	2839	65422
416	2848	65470
417	2856	65478
418	2863	65467
419	2869	65455
420	2877	65462
421	2884	65473
422	2891	65473
423	2899	65489
424	2905	65469
425	2914	65498
426	2920	65476
427	2927	65471
428	2934	65479
429	2942	65492
430	2950	65501
431	2961	65601
432	2969	65610
433	2977	65621
434	2984	65623
435	2992	65644
436	2999	65631
437	3008	65667
438	3015	65680
439	3022	65667
440	3029	65673
441	3037	65678
442	3045	65707
443	3053	65713
444	3060	65714
445	3067	65701
446	3074	65703
447	3081	65696
448	3088	65698
449	3095	65694
450	3101	65674
451	3109	65693
452	3116	65687
453	3123	65671
454	3130	65678
455	3138	65683
456	3145	65688
457	3152	65689
458	3161	65709
459	3167	65690
460	3174	65683
461	3180	65662
462	3188	65673
463	3195	65677
464	3202	65674
465	3210	65689
466	3218	65694
467	3226	65706
468	3234	65738
469	3242	65746
470	3250	65765
471	3259	65787
472	3265	65769
473	3272	65761
474	3279	65755
475	3286	65753
476	3293	65758
477	3300	65743
478	3307	65745
479	3314	65736
480	3322	65743
481	3329	65749
482	3336	65737
483	3343	65731
484	3350	65741
485	3358	65744
486	3365	65739
487	3371	65721
488	3378	65713
489	3384	65681
490	3391	65682
491	3398	65672
492	3404	65659
493	3411	65648
494	3418	65639
495	3424	65621
496	3432	65623
497	3439	65635
498	3446	65621
499	3453	65619
500	3460	65613
501	3468	65630
502	3476	65633
503	3483	65636
504	3490	65637
505	3497	65615
506	3503	65608
507	3510	65586
508	3517	65588
509	3524	65587
510	3531	65577
511	3538	65568
512	3545	65563
513	3553	65571
514	3559	65566
515	3567	65569
516	3574	65570
517	3581	65550
518	3587	65542
519	3594	65525
520	3602	65534
521	3609	65535
522	3615	65519
523	3622	65516
524	3628	65491
525	3636	65499
526	3644	65506
527	3651	65506
528	3661	65549
529	3668	65540
530	3675	65544
531	3681	65527
532	3688	65512
533	3695	65503
534	3702	65508
535	3709	65502
536	3716	65494
537	3724	65497
538	3731	65495
539	3738	65491
540	3746	65505
541	3752	65479
542	3759	65482
543	3766	65476
544	3773	65472
545	3781	65475
546	3788	65466
547	3795	65465
548	3801	65442
549	3808	65433
550	3813	65405
551	3820	65395
552	3827	65385
553	3834	65383
554	3842	65384
555	3849	65389
556	3855	65364
557	3863	65381
558	3870	65374
559	3878	65374
560	3884	65362
561	3892	65367
562	3899	65364
563	3906	65355
564	3913	65357
565	3920	65352
566	3928	65355
567	3934	65338
568	3941	65321
569	3952	65389
570	3960	65405
571	3967	65401
572	3974	65383
573	3980	65371
574	3987	65355
575	3995	65363
576	4002	65360
577	4009	65365
578	4016	65358
579	4023	65353
580	4030	65343
581	4037	65332
582	4043	65319
583	4051	65319
584	4058	65324
585	4067	65339
586	4074	65338
587	4082	65344
588	4089	65336
589	4096	65339
590	4102	65320
591	4110	65320
592	4117	65323
593	4126	65344
594	4137	65396
595	4147	65448
596	4158	65492
597	4172	65595
598	4181	65629
599	4192	65685
600	4201	65709
601	4211	65749
602	4220	65764
603	4227	65771
604	4236	65780
605	4243	65783
606	4250	65777
607	4258	65788
608	4266	65791
609	4276	65829
610	4283	65824
611	4292	65841
612	4299	65838
613	4308	65858
614	4315	65848
615	4322	65844
616	4329	65840
617	4337	65855
618	4345	65860
619	4353	65859
620	4360	65849
621	4367	65843
622	4374	65847
623	4381	65834
624	4388	65833
625	4396	65827
626	4404	65837
627	4411	65827
628	4418	65820
629	4425	65822
630	4433	65834
631	4442	65845
632	4449	65846
633	4456	65834
634	4463	65828
635	4473	65862
636	4481	65876
637	4489	65876
638	4495	65858
639	4502	65842
640	4508	65827
641	4516	65837
642	4524	65837
643	4531	65839
644	4538	65831
645	4545	65818
646	4553	65822
647	4560	65811
648	4567	65811
649	4574	65806
650	4581	65797
651	4587	65779
652	4595	65773
653	4602	65773
654	4609	65770
655	4617	65765
656	4624	65766
657	4632	65772
658	4639	65764
659	4647	65769
660	4655	65772
661	4663	65776
662	4670	65778
663	4679	65797
664	4687	65794
665	4693	65783
666	4703	65812
667	4717	65896
668	4726	65921
669	4735	65948
670	4745	65971
671	4751	65961
672	4762	65997
673	4770	66010
674	4782	66066
675	4795	66146
676	4806	66189
677	4816	66225
678	4825	66235
679	4832	66238
680	4839	66225
681	4847	66228
682	4855	66233
683	4862	66228
684	4870	66233
685	4878	66235
686	4886	66242
687	4894	66244
688	4902	66244
689	4910	66250
690	4918	66266
691	4927	66277
692	4941	66364
693	4950	66383
694	4959	66403
695	4968	66419
696	4975	66413
697	4985	66437
698	4993	66445
699	5000	66434
700	5008	66440
701	5016	66440
702	5023	66440
703	5030	66419
704	5037	66415
705	5043	66397
706	5051	66393
707	5058	66384
708	5065	66380
709	5072	66369
710	5080	66374
711	5088	66380
712	5095	66372
713	5102	66354
714	5109	66349
715	5116	66346
716	5124	66343
717	5131	66339
718	5138	66327
719	5145	66315
720	5152	66316
721	5161	66333
722	5169	66326
723	5177	66332
724	5185	66335
725	5192	66335
726	5200	66327
727	5207	66321
728	5214	66319
729	5222	66318
730	5230	66318
731	5237	66318
732	5245	66320
733	5253	66315
734	5261	66323
735	5269	66321
736	5277	66331
737	5285	66338
738	5292	66327
739	5300	66333
740	5309	66339
741	5316	66329
742	5323	66326
743	5330	66313
744	5336	66299
745	5344	66296
746	5351	66288
747	5360	66301
748	5368	66312
749	5376	66305
750	5383	66297
751	5389	66285
752	5396	66275
753	5404	66272
754	5411	66260
755	5418	66259
756	5425	66250
757	5433	66248
758	5439	66231
759	5445	66210
760	5452	66195
761	5459	66184
762	5467	66184
763	5475	66187
764	5483	66193
765	5492	66209
766	5498	66190
767	5506	66190
768	5513	66182
769	5521	66184
770	5528	66173
771	5535	66162
772	5542	66155
773	5548	66142
774	5555	66126
775	5562	66124
776	5570	66127
777	5578	66120
778	5585	66109
779	5591	66091
780	5598	66089
781	5605	66076
782	5611	66059
783	5619	66057
784	5626	66043
785	5633	66041
786	5640	66024
787	5647	66018
788	5654	66008
789	5660	65996
790	5668	65996
791	5677	66004
792	5686	66020
793	5694	66023
794	5702	66028
795	5709	66021
796	5716	66013
797	5723	66003
798	5732	66008
799	5739	66003
800	5746	66000
801	5754	65992
802	5760	65977
803	5768	65974
804	5774	65961
805	5782	65962
806	5789	65946
807	5795	65935
808	5802	65926
809	5810	65921
810	5816	65907
811	5824	65900
812	5831	65892
813	5837	65879
814	5845	65880
815	5851	65862
816	5859	65856
817	5867	65864
818	5875	65862
819	5883	65865
820	5889	65847
821	5897	65846
822	5903	65828
823	5910	65823
824	5917	65814
825	5924	65806
826	5938	65874
827	5946	65869
828	5953	65864
829	5961	65865
830	5969	65860
831	5975	65849
832	5983	65846
833	5991	65845
834	5998	65837
835	6005	65833
836	6012	65825
837	6020	65820
838	6027	65818
839	6034	65804
840	6041	65800
841	6048	65788
842	6055	65772
843	6063	65778
844	6072	65786
845	6080	65795
846	6088	65789
847	6096	65801
848	6103	65788
849	6111	65791
850	6118	65781
851	6126	65776
852	6132	65763
853	6139	65754
854	6147	65748
855	6153	65737
856	6162	65742
857	6169	65735
858	6176	65721
859	6183	65717
860	6190	65711
861	6198	65705
862	6205	65701
863	6212	65695
864	6219	65685
865	6227	65679
866	6234	65675
867	6242	65673
868	6249	65664
869	6256	65655
870	6263	65650
871	6270	65640
872	6276	65621
873	6285	65628
874	6293	65632
875	6300	65625
876	6308	65624
877	6315	65613
878	6322	65606
879	6329	65595
880	6336	65582
881	6343	65580
882	6351	65582
883	6364	65630
884	6378	65694
885	6390	65736
886	6402	65775
887	6415	65832
888	6427	65873
889	6441	65935
890	6454	65982
891	6466	66024
892	6474	66023
893	6482	66032
894	6492	66047
895	6499	66036
896	6507	66037
897	6515	66036
898	6521	66024
899	6527	66001
900	6534	65995
901	6541	65984
902	6549	65982
903	6556	65973
904	6564	65967
905	6570	65948
906	6576	65934
907	6584	65933
908	6592	65928
909	6599	65923
910	6606	65914
911	6614	65909
912	6620	65897
913	6628	65891
914	6635	65882
915	6642	65869
916	6649	65866
917	6656	65858
918	6664	65856
919	6672	65857
920	6680	65853
921	6689	65861
922	6696	65851
923	6703	65849
924	6710	65835
925	6717	65828
926	6724	65815
927	6731	65808
928	6738	65792
929	6745	65787
930	6753	65781
931	6760	65775
932	6769	65785
933	6776	65779
934	6783	65768
935	6790	65760
936	6798	65759
937	6805	65746
938	6812	65740
939	6819	65726
940	6827	65729
941	6835	65723
942	6841	65712
943	6849	65706
944	6856	65699
945	6864	65701
946	6871	65684
947	6878	65674
948	6886	65678
949	6893	65673
950	6902	65674
951	6910	65678
952	6918	65676
953	6932	65736
954	6940	65734
955	6947	65723
956	6954	65715
957	6962	65713
958	6970	65715
959	6977	65708
960	6984	65696
961	6992	65691
962	6999	65681
963	7006	65677
964	7013	65663
965	7020	65653
966	7026	65640
967	7033	65628
968	7040	65620
969	7048	65617
970	7056	65617
971	7064	65613
972	7071	65601
973	7077	65589
974	7085	65590
975	7094	65597
976	7102	65590
977	7110	65589
978	7116	65578
979	7124	65573
980	7130	65558
981	7137	65546
982	7145	65541
983	7152	65533
984	7161	65541
985	7168	65535
986	7175	65521
987	7182	65511
988	7189	65502
989	7196	65493
990	7203	65486
991	7211	65485
992	7218	65475
993	7225	65465
994	7231	65448
995	7239	65445
996	7246	65439
997	7254	65438
998	7262	65433
999	7270	65430
1000	7277	65426
1001	7288	65449
1002	7295	65444
1003	7303	65440
1004	7310	65433
1005	7318	65429
1006	7326	65425
1007	7333	65417
1008	7341	65416
1009	7348	65409
1010	7357	65416
1011	7365	65412
1012	7373	65411
1013	7380	65404
1014	7386	65385
1015	7393	65379
1016	7400	65371
1017	7408	65364
1018	7414	65348
1019	7421	65340
1020	7429	65336
1021	7436	65328
1022	7442	65311
1023	7450	65305
1024	7458	65304
1025	7465	65299
1026	7472	65287
1027	7480	65283
1028	7488	65289
1029	7497	65289
1030	7505	65290
1031	7511	65277
1032	7519	65272
1033	7526	65260
1034	7532	65247
