"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","新宿区","四谷一丁目","","6","9","-34646.9","-9438.8","35.687666","139.729048","1",1,"0","1"
"東京都","新宿区","西落合二丁目","","22","9","-31185.7","-14448.1","35.718803","139.673639","1","1","0","0"
"東京都","新宿区","西落合二丁目","","21","9","-31110.1","-14438.5","35.719485","139.673744","1","1","0","0"
"東京都","新宿区","西落合二丁目","","21","9","-31053.9","-14423.6","35.719992","139.673908","1","0","0","0"
"東京都","新宿区","西落合二丁目","","22","9","-31151.5","-14412.2","35.719112","139.674036","1","0","0","0"
"東京都","新宿区","西落合二丁目","","21","9","-31033.2","-14417.9","35.720178","139.673970","1","0","0","0"
"東京都","新宿区","西落合二丁目","","20","9","-31071.7","-14387.9","35.719832","139.674303","1","1","0","0"
"東京都","新宿区","西落合二丁目","","24","9","-31085.6","-14346.1","35.719707","139.674765","1","1","0","0"
"東京都","新宿区","西落合二丁目","","20","9","-31033.8","-14356.2","35.720174","139.674652","1","0","0","0"
"東京都","新宿区","西落合二丁目","","23","9","-31127.1","-14351.4","35.719333","139.674707","1","1","0","0"
"東京都","新宿区","西落合二丁目","","23","9","-31155.5","-14344.9","35.719077","139.674779","1","0","0","0"
"東京都","新宿区","西落合二丁目","","24","9","-31042.2","-14312.9","35.720099","139.675131","1","0","0","0"
"東京都","新宿区","西落合二丁目","","25","9","-31056.4","-14284.7","35.719971","139.675443","1","1","0","0"
"東京都","新宿区","西落合三丁目","","30","9","-30603.0","-14271.6","35.724058","139.675580","1","1","0","0"
"東京都","新宿区","西落合三丁目","","30","9","-30633.8","-14239.5","35.723781","139.675935","1","0","0","0"
"東京都","新宿区","西落合三丁目","","29","9","-30549.0","-14243.8","35.724545","139.675886","1","1","0","0"
"東京都","新宿区","西落合二丁目","","15","9","-30684.6","-14240.9","35.723323","139.675921","1","1","0","0"
"東京都","新宿区","西落合三丁目","","28","9","-30495.2","-14236.3","35.725030","139.675968","1","1","0","0"
"東京都","新宿区","西落合二丁目","","25","9","-31086.3","-14242.9","35.719702","139.675906","1","0","0","0"
"東京都","新宿区","西落合二丁目","","18","9","-30939.1","-14193.1","35.721030","139.676454","1","1","0","0"
"東京都","新宿区","西落合二丁目","","16","9","-30759.5","-14230.1","35.722648","139.676041","1","1","0","0"
"東京都","新宿区","西落合四丁目","","16","9","-30409.8","-14226.0","35.725800","139.676080","1","1","0","0"
"東京都","新宿区","西落合二丁目","","25","9","-31109.5","-14228.3","35.719493","139.676067","1","0","0","0"
"東京都","新宿区","西落合二丁目","","17","9","-30843.7","-14225.3","35.721889","139.676096","1","1","0","0"
"東京都","新宿区","西落合三丁目","","30","9","-30592.3","-14228.2","35.724155","139.676059","1","0","0","0"
"東京都","新宿区","西落合四丁目","","17","9","-30297.9","-14165.3","35.726810","139.676749","1","1","0","0"
"東京都","新宿区","西落合三丁目","","26","9","-30628.3","-14182.2","35.723831","139.676568","1","1","0","0"
"東京都","新宿区","西落合三丁目","","26","9","-30596.0","-14149.4","35.724123","139.676930","1","0","0","0"
"東京都","新宿区","西落合二丁目","","14","9","-30674.8","-14154.8","35.723413","139.676872","1","1","0","0"
"東京都","新宿区","西落合三丁目","","27","9","-30510.6","-14176.4","35.724892","139.676630","1","1","0","0"
"東京都","新宿区","西落合四丁目","","15","9","-30397.9","-14158.9","35.725908","139.676822","1","1","0","0"
"東京都","新宿区","西落合二丁目","","13","9","-30755.8","-14140.8","35.722683","139.677028","1","1","0","0"
"東京都","新宿区","西落合二丁目","","12","9","-30840.6","-14153.5","35.721918","139.676889","1","1","0","0"
"東京都","新宿区","西落合四丁目","","21","9","-30192.5","-14114.9","35.727760","139.677305","1","1","0","0"
"東京都","新宿区","西落合四丁目","","25","9","-30155.2","-14155.4","35.728096","139.676856","1","1","0","0"
"東京都","新宿区","西落合四丁目","","25","9","-30093.3","-14138.3","35.728654","139.677044","1","0","0","0"
"東京都","新宿区","西落合三丁目","","25","9","-30507.5","-14130.5","35.724921","139.677138","1","1","0","0"
"東京都","新宿区","西落合四丁目","","22","9","-30131.6","-14109.4","35.728309","139.677364","1","1","0","0"
"東京都","新宿区","西落合四丁目","","25","9","-30035.9","-14127.9","35.729172","139.677158","1","0","0","0"
"東京都","新宿区","西落合二丁目","","14","9","-30703.6","-14115.1","35.723154","139.677312","1","0","0","0"
"東京都","新宿区","西落合四丁目","","22","9","-30113.8","-14107.0","35.728470","139.677391","1","0","0","0"
"東京都","新宿区","西落合四丁目","","22","9","-30086.9","-14104.1","35.728712","139.677422","1","0","0","0"
"東京都","新宿区","西落合四丁目","","19","9","-30265.6","-14112.0","35.727102","139.677338","1","1","0","0"
"東京都","新宿区","西落合四丁目","","18","9","-30312.5","-14088.1","35.726679","139.677603","1","1","0","0"
"東京都","新宿区","西落合二丁目","","10","9","-30907.5","-14093.3","35.721316","139.677556","1","1","0","0"
"東京都","新宿区","西落合二丁目","","10","9","-30960.0","-14088.5","35.720843","139.677610","1","0","0","0"
"東京都","新宿区","西落合四丁目","","14","9","-30388.8","-14080.2","35.725992","139.677692","1","1","0","0"
"東京都","新宿区","西落合四丁目","","24","9","-30047.1","-14100.8","35.729071","139.677458","1","1","0","0"
"東京都","新宿区","西落合二丁目","","11","9","-30842.1","-14088.0","35.721906","139.677613","1","1","0","0"
"東京都","新宿区","西落合三丁目","","24","9","-30500.8","-14070.5","35.724982","139.677801","1","1","0","0"
"東京都","新宿区","西落合三丁目","","23","9","-30599.7","-14064.9","35.724091","139.677865","1","1","0","0"
