市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都中野区野方6-31-11,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"629,000","631,000","643,000","658,000","680,000","710,000","738,000","726,000","734,000"
東京都中野区新井5-16-1,公示地価,-,-,-,-,-,-,-,-,-,-,-,"1,100,000","980,000","860,000","792,000","774,000","734,000","711,000","690,000","650,000","633,000","618,000","611,000","612,000","662,000","752,000","668,000","608,000","597,000","586,000","580,000","585,000","588,000","599,000","614,000","636,000","662,000","700,000","696,000","710,000"
東京都中野区東中野3-8-15,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,470,000","1,560,000","1,690,000","1,870,000","2,100,000","2,080,000","2,130,000"
東京都中野区東中野1-6-4,公示地価,-,-,-,-,-,"3,100,000","2,950,000","3,000,000","3,000,000","2,700,000","1,980,000","1,390,000","1,150,000","925,000","788,000","763,000","731,000","690,000","682,000","666,000","640,000","622,000","615,000","620,000","677,000","803,000","727,000","668,000","660,000","650,000","646,000","656,000","668,000","691,000","734,000","779,000","817,000","872,000","865,000","885,000"
東京都中野区南台2-49-8,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"637,000","673,000","712,000","754,000","825,000","825,000","841,000"
東京都中野区東中野3-16-14,公示地価,-,-,-,-,"2,870,000","3,300,000","3,000,000","3,150,000","3,030,000","2,650,000","1,900,000","1,340,000","1,100,000","872,000","770,000","710,000","681,000","642,000","626,000","614,000","595,000","590,000","588,000","600,000","660,000","810,000","726,000","659,000","658,000","650,000","645,000","656,000","668,000","689,000","730,000","777,000","816,000","865,000","863,000","884,000"
東京都中野区本町2-49-12,公示地価,-,-,-,-,-,-,-,-,-,-,"4,380,000","3,200,000","2,710,000","1,900,000","1,600,000","1,520,000","1,420,000","1,350,000","1,320,000","1,200,000","1,150,000","1,100,000","1,090,000","1,100,000","1,220,000","1,490,000","1,360,000","1,250,000","1,240,000","1,210,000","1,200,000","1,220,000","1,230,000","1,290,000","1,370,000","1,460,000","1,570,000","1,700,000","1,700,000","1,750,000"
東京都中野区中野5-67-5,公示地価,-,-,-,-,-,-,-,-,-,-,"5,100,000","3,800,000","3,140,000","2,420,000","2,050,000","1,880,000","1,740,000","1,640,000","1,600,000","1,550,000","1,500,000","1,480,000","1,480,000","1,510,000","1,700,000","2,100,000","1,910,000","1,680,000","1,650,000","1,610,000","1,600,000","1,700,000","1,800,000","1,910,000","2,030,000","2,200,000","2,470,000","2,830,000","2,830,000","2,950,000"
東京都中野区弥生町2-21-6,公示地価,-,-,-,-,-,-,-,-,-,-,"2,280,000","1,750,000","1,510,000","1,250,000","1,100,000","1,060,000","1,020,000","935,000","910,000","884,000","848,000","827,000","814,000","822,000","901,000","1,060,000","960,000","889,000","885,000","870,000","861,000","875,000","892,000","927,000","986,000","1,050,000","1,130,000","1,210,000","1,210,000","1,240,000"
東京都中野区中野1-50-3,公示地価,-,-,-,-,-,-,-,-,-,-,"1,710,000","1,250,000","1,100,000","891,000","788,000","767,000","736,000","713,000","696,000","675,000","635,000","625,000","614,000","620,000","676,000","818,000","744,000","685,000","675,000","665,000","660,000","672,000","685,000","706,000","759,000","826,000","901,000","986,000","982,000","1,000,000"
東京都中野区野方1-29-2,公示地価,-,-,-,-,-,-,-,-,-,-,"1,690,000","1,240,000","1,060,000","854,000","763,000","725,000","681,000","643,000","621,000","600,000","583,000","573,000","567,000","574,000","636,000","795,000","720,000","657,000","647,000","638,000","636,000","648,000","660,000","683,000","718,000","761,000","809,000","860,000","860,000","888,000"
東京都中野区中野3-34-13,公示地価,-,-,-,-,-,-,-,-,-,-,-,"1,610,000","1,410,000","1,080,000","985,000","954,000","910,000","875,000","842,000","819,000","783,000","765,000","755,000","759,000","818,000","958,000","852,000","768,000","765,000","760,000","757,000","768,000","783,000","817,000","873,000","948,000","1,030,000","1,150,000","1,150,000","1,200,000"
東京都中野区東中野4-10-20,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"677,000","656,000","637,000","635,000","646,000","700,000","819,000","754,000","685,000","683,000","673,000","670,000","683,000","696,000","729,000","775,000","844,000","919,000","993,000","991,000","1,010,000"
東京都中野区上鷺宮3-16-5,公示地価,-,-,-,-,-,-,-,-,-,-,-,"812,000","720,000","604,000","565,000","558,000","518,000","476,000","462,000","448,000","444,000","441,000","439,000","443,000","475,000","551,000","503,000","465,000","456,000","445,000","441,000","447,000","452,000","460,000","471,000","487,000","506,000","526,000","519,000","524,000"
東京都中野区江古田4-30-3,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,"810,000","707,000","630,000","620,000","575,000","543,000","531,000","513,000","500,000","497,000","495,000","497,000","541,000","647,000","582,000","534,000","525,000","516,000","510,000","516,000","520,000","530,000","547,000","569,000","598,000","625,000","617,000","624,000"
東京都中野区新井1-25-6,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"828,000","803,000","783,000","775,000","780,000","862,000","1,040,000","938,000","855,000","825,000","795,000","779,000","795,000","812,000","836,000","896,000","953,000","1,030,000","1,160,000","1,160,000","1,190,000"
東京都中野区中野5-56-10,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000,000","1,000,000","995,000","995,000","1,010,000","1,150,000","1,340,000","1,210,000","1,070,000","1,030,000","992,000","982,000","1,010,000","1,040,000","1,080,000","1,130,000","1,190,000","1,300,000","1,480,000","1,470,000","1,490,000"
東京都中野区大和町1-13-9,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"487,000","470,000","458,000","450,000","453,000","494,000","605,000","540,000","506,000","504,000","493,000","490,000","495,000","504,000","517,000","535,000","565,000","602,000","637,000","630,000","640,000"
東京都中野区本町4-37-25,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"714,000","688,000","668,000","664,000","669,000","731,000","890,000","810,000","737,000","728,000","712,000","702,000","714,000","728,000","760,000","803,000","861,000","928,000","1,010,000","1,010,000","1,030,000"
東京都中野区中野2-11-1,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"880,000","957,000","1,050,000","1,160,000","1,160,000","1,200,000"
