"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","目白台三丁目","","20","9","-31346.7","-9858.7","35.717409","139.724368","1","1","0","0"
"東京都","文京区","目白台三丁目","","21","9","-31310.9","-9884.9","35.717731","139.724078","1","1","0","0"
"東京都","文京区","関口一丁目","","32","9","-32109.7","-9884.4","35.710531","139.724093","1","1","0","0"
"東京都","文京区","関口一丁目","","32","9","-32080.1","-9869.7","35.710798","139.724255","1","0","0","0"
"東京都","文京区","目白台一丁目","","23","9","-31611.0","-9860.2","35.715026","139.724354","1","1","0","0"
"東京都","文京区","目白台三丁目","","24","9","-31206.2","-9850.5","35.718675","139.724456","1","1","0","0"
"東京都","文京区","大塚六丁目","","31","9","-30535.7","-9864.9","35.724719","139.724289","1","1","0","0"
"東京都","文京区","関口一丁目","","42","9","-32158.4","-9826.6","35.710093","139.724732","1","1","0","0"
"東京都","文京区","大塚六丁目","","30","9","-30580.8","-9859.5","35.724312","139.724349","1","1","0","0"
"東京都","文京区","関口一丁目","","31","9","-32050.2","-9851.3","35.711068","139.724458","1","1","0","0"
"東京都","文京区","目白台一丁目","","25","9","-31678.0","-9840.9","35.714423","139.724568","1","1","0","0"
"東京都","文京区","関口一丁目","","29","9","-32117.7","-9839.2","35.710459","139.724593","1","1","0","0"
"東京都","文京区","目白台三丁目","","23","9","-31262.6","-9844.1","35.718167","139.724528","1","1","0","0"
"東京都","文京区","大塚六丁目","","28","9","-30516.5","-9830.5","35.724892","139.724669","1","1","0","0"
"東京都","文京区","大塚六丁目","","27","9","-30421.3","-9836.8","35.725750","139.724598","1","1","0","0"
"東京都","文京区","目白台三丁目","","13","9","-31542.2","-9840.2","35.715647","139.724575","1","1","0","0"
"東京都","文京区","目白台三丁目","","14","9","-31452.4","-9833.4","35.716456","139.724649","1","1","0","0"
"東京都","文京区","目白台一丁目","","24","9","-31646.6","-9816.2","35.714706","139.724841","1","1","0","0"
"東京都","文京区","関口一丁目","","30","9","-32085.8","-9818.9","35.710747","139.724817","1","1","0","0"
"東京都","文京区","関口三丁目","","18","9","-31601.1","-9798.4","35.715116","139.725037","1","1","0","0"
"東京都","文京区","目白台三丁目","","12","9","-31506.9","-9816.1","35.715965","139.724840","1","1","0","0"
"東京都","文京区","目白台三丁目","","12","9","-31557.4","-9811.8","35.715510","139.724888","1","0","0","0"
"東京都","文京区","大塚六丁目","","26","9","-30477.7","-9798.8","35.725242","139.725019","1","1","0","0"
"東京都","文京区","大塚六丁目","","17","9","-30329.0","-9805.3","35.726582","139.724945","1","1","0","0"
