"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","練馬区","西大泉六丁目","","24","9","-26415.9","-24410.7","35.761600","139.563379","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","24","9","-26382.7","-24401.9","35.761899","139.563476","1","0","0","0"
"東京都","練馬区","西大泉六丁目","","24","9","-26332.1","-24394.4","35.762355","139.563557","1","0","0","0"
"東京都","練馬区","西大泉六丁目","","23","9","-26341.1","-24366.2","35.762275","139.563869","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","22","9","-26400.4","-24359.0","35.761741","139.563950","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","21","9","-26451.4","-24345.9","35.761281","139.564097","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","20","9","-26514.3","-24335.3","35.760715","139.564216","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","19","9","-26435.6","-24287.4","35.761425","139.564743","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","18","9","-26303.9","-24307.1","35.762611","139.564521","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","19","9","-26354.4","-24314.2","35.762156","139.564444","1","0","0","0"
"東京都","練馬区","西大泉五丁目","","37","9","-26657.9","-24295.2","35.759421","139.564664","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","17","9","-26365.3","-24269.7","35.762059","139.564937","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","19","9","-26464.0","-24240.5","35.761170","139.565262","1","0","0","0"
"東京都","練馬区","西大泉六丁目","","16","9","-26415.1","-24210.1","35.761612","139.565597","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","15","9","-26478.8","-24199.6","35.761037","139.565715","1","1","0","0"
"東京都","練馬区","関町南四丁目","","26","9","-30773.6","-24178.8","35.722327","139.566075","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","34","9","-26779.0","-24141.3","35.758333","139.566370","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","34","9","-26800.1","-24165.7","35.758142","139.566100","1","0","0","0"
"東京都","練馬区","関町北三丁目","","46","9","-30313.4","-24146.0","35.726476","139.566424","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","34","9","-26903.8","-24138.3","35.757208","139.566407","1","0","0","0"
"東京都","練馬区","関町北三丁目","","5","9","-30605.1","-24137.5","35.723847","139.566526","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","34","9","-26855.2","-24126.6","35.757646","139.566534","1","0","0","0"
"東京都","練馬区","西大泉五丁目","","34","9","-26824.7","-24123.8","35.757922","139.566565","1","0","0","0"
"東京都","練馬区","西大泉六丁目","","13","9","-26446.6","-24093.4","35.761330","139.566889","1","1","0","0"
"東京都","練馬区","関町南四丁目","","25","9","-30783.8","-24116.6","35.722237","139.566763","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","33","9","-27005.7","-24065.4","35.756292","139.567215","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","30","9","-26710.8","-24089.7","35.758949","139.566937","1","1","0","0"
"東京都","練馬区","関町北三丁目","","50","9","-30131.3","-24070.1","35.728119","139.567257","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","32","9","-26858.6","-24035.2","35.757619","139.567545","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","31","9","-28010.7","-24058.9","35.747233","139.567317","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","31","9","-26787.8","-24040.2","35.758256","139.567487","1","1","0","0"
"東京都","練馬区","関町北三丁目","","49","9","-30164.4","-24061.5","35.727821","139.567353","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","13","9","-26416.7","-24074.3","35.761601","139.567099","1","0","0","0"
"東京都","練馬区","西大泉六丁目","","12","9","-26390.9","-24019.7","35.761835","139.567702","1","1","0","0"
"東京都","練馬区","西大泉一丁目","","33","9","-27105.8","-24071.8","35.755390","139.567148","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","31","9","-28038.4","-24086.5","35.746983","139.567013","1","0","0","0"
"東京都","練馬区","関町北四丁目","","26","9","-30052.8","-24068.8","35.728826","139.567270","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","30","9","-28129.5","-24050.6","35.746163","139.567413","1","1","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30566.8","-24063.4","35.724194","139.567344","1","1","0","0"
"東京都","練馬区","関町南四丁目","","22","9","-30877.9","-24044.4","35.721391","139.567564","1","1","0","0"
"東京都","練馬区","関町南四丁目","","22","9","-30840.6","-24045.9","35.721726","139.567546","1","0","0","0"
"東京都","練馬区","関町南四丁目","","23","9","-30790.3","-24065.1","35.722179","139.567332","1","1","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30598.8","-24060.0","35.723905","139.567383","1","0","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30630.0","-24056.9","35.723624","139.567418","1","0","0","0"
"東京都","練馬区","関町北四丁目","","26","9","-30014.1","-24034.7","35.729176","139.567645","1","0","0","0"
"東京都","練馬区","関町北三丁目","","44","9","-30383.3","-24049.0","35.725848","139.567498","1","1","0","0"
"東京都","練馬区","西大泉一丁目","","33","9","-27124.2","-24017.4","35.755225","139.567749","1","0","0","0"
"東京都","練馬区","南大泉三丁目","","30","9","-28068.9","-24040.1","35.746710","139.567527","1","0","0","0"
"東京都","練馬区","関町北四丁目","","27","9","-29992.5","-23991.0","35.729372","139.568128","1","1","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30536.0","-24034.6","35.724473","139.567661","1","0","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30509.3","-24035.3","35.724713","139.567653","1","0","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30479.8","-24035.1","35.724979","139.567654","1","0","0","0"
"東京都","練馬区","南大泉二丁目","","5","9","-29240.0","-24027.9","35.736154","139.567697","1","1","0","0"
"東京都","練馬区","関町北三丁目","","9","9","-30451.1","-24034.9","35.725237","139.567656","1","0","0","0"
"東京都","練馬区","西大泉五丁目","","30","9","-26679.7","-24032.3","35.759231","139.567572","1","0","0","0"
"東京都","練馬区","南大泉二丁目","","5","9","-29305.4","-23962.7","35.735566","139.568420","1","0","0","0"
"東京都","練馬区","西大泉五丁目","","33","9","-26920.3","-24030.4","35.757062","139.567600","1","0","0","0"
"東京都","練馬区","西大泉五丁目","","33","9","-27015.4","-23994.9","35.756206","139.567996","1","0","0","0"
"東京都","練馬区","関町北四丁目","","28","9","-29913.5","-23998.3","35.730084","139.568045","1","1","0","0"
"東京都","練馬区","西大泉六丁目","","11","9","-26281.4","-24015.3","35.762822","139.567748","1","1","0","0"
"東京都","練馬区","南大泉二丁目","","6","9","-29178.0","-24015.8","35.736713","139.567828","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","30","9","-28251.4","-24017.5","35.745064","139.567783","1","0","0","0"
"東京都","練馬区","関町南四丁目","","22","9","-30794.0","-24017.4","35.722147","139.567859","1","0","0","0"
"東京都","練馬区","西大泉六丁目","","11","9","-26341.5","-23943.5","35.762282","139.568543","1","0","0","0"
"東京都","練馬区","南大泉二丁目","","7","9","-29089.2","-23998.8","35.737514","139.568014","1","1","0","0"
"東京都","練馬区","関町北四丁目","","24","9","-30072.9","-23988.0","35.728648","139.568163","1","1","0","0"
"東京都","練馬区","関町北三丁目","","42","9","-30293.3","-23983.5","35.726661","139.568220","1","1","0","0"
"東京都","練馬区","関町北三丁目","","42","9","-30321.2","-24019.4","35.726408","139.567823","1","0","0","0"
"東京都","練馬区","南大泉二丁目","","6","9","-29119.4","-23960.8","35.737243","139.568435","1","0","0","0"
"東京都","練馬区","関町北三丁目","","43","9","-30368.1","-23934.7","35.725988","139.568761","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","25","9","-28173.9","-23981.5","35.745764","139.568178","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","26","9","-26668.6","-23997.2","35.759332","139.567960","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","29","9","-28020.3","-23985.1","35.747149","139.568134","1","1","0","0"
"東京都","練馬区","南大泉三丁目","","29","9","-28050.9","-24009.2","35.746872","139.567868","1","0","0","0"
"東京都","練馬区","関町北三丁目","","50","9","-30140.3","-23993.5","35.728039","139.568104","1","0","0","0"
"東京都","練馬区","関町北三丁目","","38","9","-30214.3","-23867.8","35.727376","139.569496","1","1","0","0"
"東京都","練馬区","西大泉五丁目","","25","9","-26722.2","-23979.6","35.758850","139.568155","1","1","0","0"
"東京都","練馬区","関町北四丁目","","25","9","-30040.5","-23978.7","35.728940","139.568265","1","1","0","0"
"東京都","練馬区","南大泉二丁目","","7","9","-29112.2","-23987.6","35.737307","139.568139","1","0","0","0"
"東京都","練馬区","関町南四丁目","","21","9","-30794.0","-23973.2","35.722148","139.568348","1","1","0","0"
"東京都","練馬区","西大泉一丁目","","36","9","-27289.9","-23917.3","35.753734","139.568861","1","1","0","0"
"東京都","練馬区","西大泉一丁目","","34","9","-27174.5","-23962.5","35.754773","139.568359","1","1","0","0"
"東京都","練馬区","関町北三丁目","","10","9","-30611.2","-23988.9","35.723795","139.568170","1","1","0","0"
"東京都","練馬区","西大泉一丁目","","32","9","-27130.9","-23922.4","35.755167","139.568800","1","1","0","0"
"東京都","練馬区","南大泉二丁目","","7","9","-29059.6","-23975.7","35.737781","139.568269","1","0","0","0"
"東京都","練馬区","西大泉五丁目","","17","9","-27026.1","-23915.8","35.756112","139.568870","1","1","0","0"
