市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都港区南麻布5-9-2,公示地価,-,-,-,-,-,"6,000,000","5,760,000","5,540,000","5,180,000","3,900,000","2,800,000","1,880,000","1,390,000","1,120,000","986,000","968,000","938,000","917,000","924,000","924,000","924,000","924,000","949,000","1,140,000","1,500,000","1,760,000","1,550,000","1,400,000","1,400,000","1,400,000","1,400,000","1,480,000","1,570,000","1,660,000","1,740,000","1,820,000","1,920,000","2,020,000","2,020,000","2,060,000"
東京都港区白金台2-13-2,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"705,000","830,000","1,000,000","1,110,000","960,000","900,000","905,000","905,000","905,000","934,000","967,000","998,000","1,040,000","1,080,000","1,150,000","1,210,000","1,210,000","1,240,000"
東京都港区高輪1-9-5,公示地価,-,-,-,-,"4,300,000","4,700,000","4,420,000","4,320,000","4,150,000","3,200,000","2,240,000","1,500,000","1,130,000","940,000","854,000","840,000","810,000","790,000","800,000","800,000","800,000","800,000","820,000","970,000","1,200,000","1,330,000","1,140,000","1,070,000","1,090,000","1,090,000","1,090,000","1,130,000","1,170,000","1,200,000","1,230,000","1,260,000","1,340,000","1,410,000","1,410,000","1,460,000"
東京都港区三田2-2-20,公示地価,-,-,-,-,-,-,"4,560,000","4,470,000","4,360,000","3,780,000","2,870,000","1,900,000","1,410,000","1,130,000","995,000","985,000","953,000","920,000","913,000","911,000","911,000","911,000","919,000","1,050,000","1,280,000","1,490,000","1,280,000","1,180,000","1,170,000","1,170,000","1,170,000","1,220,000","1,270,000","1,340,000","1,400,000","1,460,000","1,530,000","1,610,000","1,610,000","1,660,000"
東京都港区赤坂8-2-17,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,200,000","1,170,000","1,170,000","1,170,000","1,170,000","1,170,000","1,200,000","1,360,000","1,680,000","1,970,000","1,660,000","1,500,000","1,440,000","1,420,000","1,420,000","1,530,000","1,620,000","1,720,000","1,820,000","1,920,000","2,020,000","2,110,000","2,110,000","2,140,000"
東京都港区高輪4-20-19,公示地価,-,-,-,-,"4,100,000","4,440,000","4,140,000","4,070,000","3,910,000","3,010,000","2,000,000","1,330,000","1,000,000","835,000","762,000","748,000","720,000","700,000","700,000","700,000","700,000","712,000","730,000","855,000","1,030,000","1,170,000","1,010,000","938,000","947,000","945,000","945,000","978,000","1,020,000","1,060,000","1,100,000","1,170,000","1,240,000","1,310,000","1,310,000","1,360,000"
東京都港区元麻布2-3-24,公示地価,-,-,-,"3,410,000","6,640,000","7,620,000","6,870,000","6,870,000","6,620,000","5,300,000","3,550,000","2,350,000","1,750,000","1,370,000","1,230,000","1,220,000","1,180,000","1,140,000","1,140,000","1,150,000","1,150,000","1,150,000","1,190,000","1,410,000","1,880,000","2,230,000","1,900,000","1,730,000","1,720,000","1,700,000","1,710,000","1,840,000","1,950,000","2,070,000","2,190,000","2,300,000","2,430,000","2,550,000","2,550,000","2,580,000"
東京都港区元麻布3-6-2,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,630,000","1,380,000","1,300,000","1,280,000","1,260,000","1,270,000","1,350,000","1,430,000","1,510,000","1,580,000","1,650,000","1,740,000","1,830,000","1,830,000","1,860,000"
東京都港区赤坂4-11-18,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,"1,540,000","1,230,000","1,070,000","1,040,000","949,000","908,000","898,000","896,000","896,000","896,000","896,000","993,000","1,230,000","1,420,000","1,200,000","1,070,000","1,020,000","1,000,000","1,000,000","1,040,000","1,080,000","1,120,000","1,160,000","1,200,000","1,250,000","1,320,000","1,320,000","1,350,000"
東京都港区南麻布4-9-34,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,230,000","3,500,000","3,570,000","3,650,000"
東京都港区芝浦2-3-27,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"950,000","984,000","1,040,000","1,110,000","1,180,000","1,250,000","1,380,000","1,550,000","1,560,000","1,630,000"
東京都港区南青山2-4-11,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,280,000","1,700,000","2,030,000","1,710,000","1,530,000","1,470,000","1,450,000","1,450,000","1,540,000","1,650,000","1,770,000","1,890,000","2,000,000","2,100,000","2,200,000","2,210,000","2,250,000"
東京都港区港南3-7-23,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"740,000","768,000","810,000","863,000","911,000","958,000","1,070,000","1,220,000","1,240,000","1,300,000"
東京都港区南麻布4-10-22,公示地価,-,-,-,-,-,-,-,-,-,-,"2,400,000","1,570,000","1,150,000","930,000","833,000","819,000","785,000","764,000","764,000","764,000","764,000","764,000","770,000","889,000","1,070,000","1,260,000","1,120,000","1,040,000","1,030,000","1,030,000","1,030,000","1,080,000","1,130,000","1,180,000","1,240,000","1,320,000","1,400,000","1,470,000","1,470,000","1,500,000"
東京都港区南青山4-12-1,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,590,000","1,660,000","1,730,000","1,800,000","1,890,000","1,900,000","1,930,000"
東京都港区南麻布1-27-33,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,400,000","1,440,000","1,520,000","1,610,000","1,690,000","1,690,000","1,730,000"
東京都港区三田2-7-25,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,580,000","1,660,000","1,740,000","1,840,000","1,950,000","1,950,000","1,990,000"
東京都港区高輪2-12-51,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,060,000","1,090,000","1,150,000","1,210,000","1,290,000","1,300,000","1,340,000"
東京都港区六本木3-5-16,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,160,000","1,210,000","1,260,000","1,310,000","1,380,000","1,380,000","1,410,000"
東京都港区東麻布2-17-8,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,180,000","1,230,000","1,280,000","1,390,000","1,480,000","1,480,000","1,510,000"
東京都港区白金4-14-6,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,260,000","1,290,000","1,330,000","1,390,000","1,460,000","1,460,000","1,500,000"
